author,rating,title,content,updated_date
화이팅 걸,5,감사합니다..앞으로도 저축을 많이 하도록 하겠습니다.,Kb예금은 언제나 든든 합니다.열심히 일해서 저축해서 노후에 편안한 삶을 누립시다.,2025-06-29T17:50:22-07:00
ㄱㅅㅇㄱㅂ,5,온라인 예금가입 만족합니다.,간편하고 좋아요.,2025-06-29T17:49:13-07:00
울딱시,5,간편해요,빠르고 간편해서 편하고 좋아요,2025-06-29T17:42:57-07:00
판도라케이,5,온라인환전,"앱 서용하기 편하고, 온라인환전하니 몇 만 원이라도 이득이돼서 좋네요. 당일 신청해서 받을 수 있어 편리해요.",2025-06-29T17:12:39-07:00
azluckme,1,별 0개는 왜 없나요?,"국민은행을 주거래 쓰다가 바꾼 이유는 앱 존재 의미가 없을 정도로 불편하고, 느리고, 비효율적이기 때문입니다.

처음엔 앱을 무슨 기능마다 여러개 만들더니, 하나로 통합하나 싶더니 하나부터 열까지 불편합니다. 

정액적립식인 경우 미납 금액이 없는.. 금일 이체 대상 계좌.. 이런 표현도 글만 쓰지 말고 물음표라도 추가해서 이 안내가 왜나오는지 어떻게 해결해야하는지를 생각해주세요. 

물론 주고객이 앱 사용성이 최악이라 떠난다고 해도 1금융권 그것도 국민은행에서 들은척도 안하겠지만요, 

제가 떠나고 그 밑에 세대도 이렇게 하나 둘 다 떠날겁니다. 점차 토스, 카카오뱅크 등 고객 이용 편의성을 최우선으로 고려하는 인터넷 뱅크로 전환될 것입니다. 제발 시대에 맞게 변화하고 발전해주세요..",2025-06-29T17:08:32-07:00
좌하상우,5,조아요,조아용,2025-06-29T16:56:46-07:00
아일리안,5,정기예금,상품가입 절차 등이 너무 편리합니다,2025-06-29T15:36:45-07:00
포딩,5,빠른 처리 감사,당황했는데 빠르개 처리되네요,2025-06-29T06:50:31-07:00
탱구방구,5,굿,굿,2025-06-29T06:21:37-07:00
Haramhaeun,5,편리해요,사용이편해요,2025-06-29T03:40:19-07:00
펭구 언니,5,이체한도 증액,은행에 가지 않고도 증액할 수 있어서 편리하네요. 신분증 촬영은 인식이 잘 안됐는데 몇번 하니까 되긴 됐어요.,2025-06-29T03:01:55-07:00
스탁뱅킹,5,이체한도증액,친절,2025-06-29T02:25:47-07:00
2얍,2,공과금 촬영납부,두세달 전쯤에는 공과금 촬영납부로 지로 인식 바로 돼서 납부 가능했는데 지금은 인식이 아예 안 되네요. 개선 바랍니다.,2025-06-29T01:09:26-07:00
ㅎㅎㅠㅠㅣㅣ,5,가입이 편해서,가입하기 간편해요,2025-06-29T00:26:32-07:00
ㅅ ㅡ ㅅ~~,3,가독성이 좋아요,어렵지않게 한눈에 진행 가능해서 좋습니다,2025-06-28T20:00:58-07:00
Hee1962,5,앱이 편리합니다,계자조회도 편리하고 이체도 쉬워서 잘 사용합니다,2025-06-28T19:47:26-07:00
assembleeh,5,적금 가입,편리하고 좋습니다,2025-06-28T19:38:00-07:00
Wanee4ever,5,아이팟 터치 다운,아이팟 터치에서 공인인증서 로긴하면 바로 다운됩니다 이전 버전에선 잘됐는데 ㅠㅠ 빨리 수정해주세요 ~~~~,2025-06-28T17:17:38-07:00
창동인,5,쉬운설명,비교적 설명이 알아 듣기 편했습니다,2025-06-28T16:54:52-07:00
크트123,5,빠른해결,빠른 해결해줘서 좋아요,2025-06-28T06:38:36-07:00
케빈1986,5,이체 한도 변경,보안 편의 모두 좋아요,2025-06-28T06:25:31-07:00
삐롤잉,5,조항요,잘 이용중입니다,2025-06-27T19:01:53-07:00
희동동동ㅇㅇ,5,굿,좋아요 간편해요,2025-06-27T18:25:45-07:00
김성심,5,간편하고 좋네요,휴대폰으로 간단히 예금을 들어서 참 편하네요 이율도 좋고 6개월 후 또 J H 할게요,2025-06-27T18:25:40-07:00
열*정*보*석,5,가입설명과 시스템이 편리,우대금리조건 설명과 가입시스템이 편리함,2025-06-27T17:46:31-07:00
지겹울,5,간편해요,잘 짜여진 메뉴 좋아요,2025-06-27T17:02:43-07:00
흰광풍,5,좋아요,좋아요,2025-06-27T16:56:02-07:00
바르프라하,5,적금,쵝오,2025-06-27T14:18:01-07:00
왕 쫑,5,좋아요,손쉬워요,2025-06-27T04:46:57-07:00
천장지구영,4,쉽고 좋아요,예금가입과 해지가 쉽고 간편하고 좋아요,2025-06-27T04:19:28-07:00
NaegAeRo4,5,너무 좋음,플랫폼 너무 잘만든것 같아요,2025-06-27T03:13:28-07:00
미먀야애,3,입출금내역에 달력 어디갔나요,돌려주세요ㅠ,2025-06-27T02:43:02-07:00
속앗쑤다,5,최고에요!,생각지도 못한 휴면 예금 찾아줘서 좋습니다!,2025-06-27T01:13:37-07:00
꽃 보살,5,편리,이용이 편리해요,2025-06-26T22:34:47-07:00
수수깡71,5,편리하네요,편리하긴 한데 꼼꼼히 확인 해야 될 것 같아요,2025-06-26T22:09:10-07:00
ㄱㄴㄷㄹㅁㅂ1234,5,지점 직원이 친절 신속하게 응대해주셨어요,감사합니다,2025-06-26T21:51:51-07:00
스폰지밥123,5,굿,굿,2025-06-26T21:14:17-07:00
민주니가,5,감사합니다,너무도 친절한 응대에 감사드립니다,2025-06-26T20:44:57-07:00
Bonnheur,5,환전신청의 편리성,환전신청 시 휴대폰으로 미리 신청을 해놓고 창구에서 바로 받을 수 있어서 정말 편리해요,2025-06-26T20:25:02-07:00
김띵희,4,좋아요,편하고 빠르고 좋아요,2025-06-26T19:44:23-07:00
만두빙빙,3,알림함에서 입출금내역 복사 기능 추가해주세요,"원래 알림함에서 입출금내역 복사 기능이 있었는데 업데이트 된 후로 없어진 것 같네요.. 

가계부 작성할 때 복사 기능이 필요한데 기능 업데이트 부탁드리겠습니다.",2025-06-26T19:43:15-07:00
Anakin SeaWaLkeR,5,장기미사용이제제한해제,간편해요,2025-06-26T19:02:17-07:00
환전순탄,5,환전신청,환율신청 진행이 원활합니다,2025-06-26T18:42:53-07:00
dayzzzziㅋㅋ,1,얼굴인식 너무 화남,공동인증서 발급하려고 했는데 본인아니라고 거부 됨 심지어 5회 초과되어서 앱 막힘 내가 본인데 뭔 인증을 더해야됨? 인식 좀 제발..,2025-06-26T18:14:39-07:00
yfchyun,5,처리속도,너무 빨라서 좋아요,2025-06-26T17:59:48-07:00
대자연인 한두만,5,환전 관련,"잘 몰라서 창구를 찾아 왔었는데
간편하고 좋은 환율 방법이 있어서
아주 좋았습니다.
잘 활용하겠습니다.",2025-06-26T17:42:18-07:00
찐명,5,이체,친절 간편,2025-06-26T17:35:21-07:00
상흔쩜,5,쉽고 편리해요,스타뱅킹을 통해 은행거래 쉬워서 좋아요,2025-06-26T17:29:11-07:00
에드워드리80,5,좋아요,외화를 공항에서 토요일에도 받을수 있고 좋아요! ^^,2025-06-26T17:16:07-07:00
팔콩오콩이,5,편리해요,편리하고 불편함 없이 잘 사용하고 있어요,2025-06-26T16:45:15-07:00
YangeYange,5,GooD,GoodGood!!,2025-06-26T10:42:38-07:00
The one486,5,좋아요,좋아요,2025-06-26T09:13:15-07:00
뽀식이가,5,뽀식이가,나 깡다구,2025-06-26T05:18:52-07:00
찬양하기,5,⭐️⭐️⭐️⭐️⭐️,바쁜시간에 은행업무 보는 일 쉽지 않은데 편리합니다.,2025-06-26T04:52:55-07:00
냥냥탱이,5,대만족,간편하게 적금 가능~,2025-06-26T04:51:48-07:00
꽉꽉이네,5,너무편해요,늘 이용하는 국민스타뱅킹 너무 편해요,2025-06-26T01:10:13-07:00
엘브이에스,5,국민은행 보문동지점,국민은행 보문동 지점 모두들 너무 친절히 알려주세요 최고에요,2025-06-26T00:49:25-07:00
djdjxjcj,5,알림 내역,업뎃 이후 알림이떠서 어플들어가면 알림내역이 안나옵니다,2025-06-26T00:45:42-07:00
꽃사녀,4,국민은행,국민이 믿을만한기업이다,2025-06-25T23:12:48-07:00
금강산폭발,5,감사합니다,감사합니다,2025-06-25T22:59:02-07:00
쿠키쫀,4,국민은행~,급여통장때문에 개설했는데어플도 편리하고 좋아요,2025-06-25T22:57:29-07:00
은과 나무,5,정기예금,간편하고 쉬워서 자주 이용할 것 같아요.,2025-06-25T22:02:16-07:00
샤론의 나무그늘,5,비밀번호오류,너무 간단하게 바꿀수 있게 되어서 감사합니다,2025-06-25T21:31:41-07:00
행복한책벌레,5,장기이용고객,무엇하나 불편함 없이 잘 사용중입니다. 감사합니다.,2025-06-25T17:43:42-07:00
신흥동 사이다,5,좋음,좋음,2025-06-25T17:39:16-07:00
namjjang,4,기능이 좋아졌어요,속도도 빨라지고 안정성도 높지만 이제는 영업점 대기 순서까지 나오는 꼼꼼함 까지 괜찮은 기능인거같아요,2025-06-25T17:13:26-07:00
왕 뚱뚱,5,간편해여,여러상품 비교 할수 있어서 편하게 선택 가능하네요,2025-06-25T17:06:56-07:00
궁술,5,모바일 대출실행,국민은행의 인터넷뱅킹 발전에 칭찬 보냅니다.,2025-06-25T16:57:20-07:00
곰과 호랑이,5,적급가입,가입이 쉬었습니다,2025-06-25T16:42:16-07:00
공쥬마녀,5,앱사용,앱 사용이 쉽고 편리해요,2025-06-25T16:41:40-07:00
Ks jowei,5,상품가입,가입이 어렵지 않아서 좋네요,2025-06-25T16:10:46-07:00
고꾸리,5,서비스,굿,2025-06-25T08:50:47-07:00
신원맘,4,집에서 간단하게,좋아요 아자가 너무작아아쉽기하지만 편리하네요,2025-06-25T08:42:37-07:00
베브너냐더듀ㅠㄴ,5,굿,굿,2025-06-25T08:32:46-07:00
ssuntory,5,모바일 환전,만족합니다,2025-06-25T08:27:06-07:00
스마트별,5,특별한 적금,하루 커피량 줄이기~~~,2025-06-25T07:35:29-07:00
경주소연이,5,국민은행 최고,여기가 서비스 굿 입니다  번창하세용,2025-06-25T06:54:04-07:00
기아포에버,5,빠르고 쉽게,이해하기 쉬고 편하게 가입함,2025-06-25T05:11:34-07:00
흥팡이,5,결재비밀번호,변경한 비밀번호가 생각이 안낫는데 영상통화로 변경할 수 있어서 너무 만족해요,2025-06-25T03:51:34-07:00
ㅅㄱㅅㄱㄴㄱ,5,시험삼아 가입해봤어요,첫 가입인데 잘 되겠죠,2025-06-25T03:44:04-07:00
폴리73,5,예금,스타뱅킹에서 가입하기 편리해요,2025-06-25T03:17:16-07:00
오힝냐홍,5,조으다,너무조으다다,2025-06-25T03:11:18-07:00
띵똥이임,5,간편해요,편리하고.간편해서 좋아요,2025-06-25T03:09:58-07:00
Hachisungmi.,1,근래 리뉴얼된거 최악,은행앱이 기본적으로 내 전체 계좌 내역을 바로 보게해야지 어디다 숨겨놓고 아주 다른것들만 죄다 꺼내놓구 원래로 돌려놔요 불편해죽겟네,2025-06-25T01:46:49-07:00
캣트라슈0113,5,편해요,한벙에  걸리지  않고  쉽고 빨라요,2025-06-25T01:42:32-07:00
노잼굿잼걍함,5,땡큐,적금 가입 수월해요 굿굿,2025-06-25T01:05:48-07:00
76세남매맘,4,잘 사용중.,거래은행이라 잘 사용하고 있습니다.,2025-06-25T00:56:37-07:00
오르골,5,인터넷뱅킹,친절한 안내 감사합니다. ^^,2025-06-25T00:20:17-07:00
bamtol lee,5,환전,환전처리 신속해요,2025-06-25T00:12:50-07:00
심심해서깔았어용,5,친절하십니다!!,자세하게 안내 해주셔서 감사합니다,2025-06-24T23:53:27-07:00
fromvancouver,5,정기적금 간편하네요,은행 방문하지 않고 간편해서 좋네요,2025-06-24T23:48:16-07:00
여의도 이박사,5,환전,신속하고 편리해요,2025-06-24T22:37:25-07:00
로키7979,5,이율좋아유~,이율이 좋아!,2025-06-24T22:16:13-07:00
정혁소정,5,편하고좋아요,예금가입 절차가 알기쉽게 되어있어서 좋아요,2025-06-24T21:24:16-07:00
어뗘,5,비밀번호변경,안심하고 간편하게 변경했네요~,2025-06-24T20:29:51-07:00
Dy moong,5,굿 찡긋,은행 어플 중 가장 편해요 짱짱,2025-06-24T20:19:37-07:00
kelkhjw,5,빨라요,진행이 빠르고 좋아요,2025-06-24T20:14:50-07:00
샬롬이샛별,5,환전,편리하고 좋아요!,2025-06-24T20:01:01-07:00
강어석,5,인터넷 가입이 수월함.,금리도 타은행비해 높고 인터넷 가입도 수월하여 매우 만족합니다.,2025-06-24T18:02:35-07:00
"아이폰이라, 늘 불안했는데..",5,좋아요,간편하게 가입했어요,2025-06-24T17:46:56-07:00
피터62,5,예금가입,최고 입니다,2025-06-24T17:28:59-07:00
kal1932,5,환전,호주달러 환전 우대환율 만족입니다,2025-06-24T17:13:00-07:00
뷰티2,5,편리해요,가입이 편리하고 이해하기쉽고 빨라요,2025-06-24T16:32:39-07:00
셀레문,4,좋아요,방문하지 않아도 가입이되서 좋네요,2025-06-24T16:19:07-07:00
행호목,5,통장 개설,지점을 방문하지 아니하고 계좌를 편리하게 웹으로 개설했습니다,2025-06-24T15:59:10-07:00
我以为我是一个人生闷气,1,이번 업데이트 …,불편합니다,2025-06-24T15:22:09-07:00
고치는데,5,예금,편리해요,2025-06-24T15:05:46-07:00
Seokgangl,5,통장개섷,좋아요,2025-06-24T14:59:58-07:00
생각이많은사람,5,이체한도 변경,이체한도 변경 편해요~~,2025-06-24T03:20:48-07:00
Byrd0614,5,한도변경,빠르고 편리합니다,2025-06-24T02:56:59-07:00
미스애플,5,편리해서 좋아요!,"여행갈때마다 환전이 간단하고, 편리해서 아주 만족해요!!^^",2025-06-24T00:06:01-07:00
silnt2,5,요!!!,요~,2025-06-23T23:08:48-07:00
심술통이야,5,심슨,좋아요,2025-06-23T22:31:26-07:00
에효ㅜ,5,감사합니다,친절해요,2025-06-23T21:45:36-07:00
chaeshin,5,리뷰,좋습니다,2025-06-23T21:24:19-07:00
Megan Jung,5,환전,빠르고 우대 만족,2025-06-23T18:57:52-07:00
벌교 삼촌,5,신속 정확한 업무처리,매우 좋아요,2025-06-23T18:51:47-07:00
나나고시,5,간편해요,핸드폰안에 은행 좋아요,2025-06-23T18:45:00-07:00
징벼리,5,사용하기 가장편리한 은행 어플,사용하기 가장편리한 은행 어플입니다. 디스플레에 부터 검색기능까지^^,2025-06-23T18:36:26-07:00
애틀란타미시건,5,"신속 정확한 환전, 땡큐",항상 환전신청 시스템의 속도 정확 편리함에 놀라고 있습니다. 훌륭한 시스템 감사합니다,2025-06-23T17:48:15-07:00
윤남매최고,5,친절도만족,어려움없이 문제해결해서 좋았습니다,2025-06-23T17:44:52-07:00
