author,rating,title,content,updated_date
어나나ㅗ쥬너탸듀냥,1,검열?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자유민주주의 국가에서 잘하는 짓이다 어유,2025-06-20T20:26:38-07:00
ㅇㄱ뭐해?,1,ㅋㅋ,ㅋㅋ,2025-06-20T20:15:31-07:00
steel_dh,1,가톡 검열 시작,"사적인 대화는 타 메신저로, 카톡서비스는 최대한 이용 금지",2025-06-20T20:01:58-07:00
환불요규,5,.,인스타처럼 비활성화 기능 추가해주세요,2025-06-20T17:23:23-07:00
로피케,1,다크모드테마 돌려주세요,예전 다크모드테마가 훨씬 좋은데 아님 선택을 할 수 있게 해줘야지.. 맘대로 무작정 바꿔놓네요;,2025-06-20T17:05:12-07:00
aEr153232,1,운영자님,그 마음 이해 가요…..얼른 🇰🇵 빠져 나오세요,2025-06-20T15:33:23-07:00
shinY710,5,ㅇ,셰셰오톡 니들이 전국민 개인정보도 공산당에 넘기더니 이젠 톡방까지 들여다보네 느들껀 이제 절때안씀 ㅗ,2025-06-20T11:38:57-07:00
00220ㅇ,1,검열은 이렇게 시작되는거지,공산당 앞잡이🇨🇳,2025-06-20T10:00:01-07:00
엄가은,5,제발 도와주십쇼오..,진짜 이거 ㄹㅇ 좋은 앱입니다 근데 저 익명 펑은 잘 안지워집니다.. 그게 가장 아쉽습니다 그니까 제발 저 펑 올린거 싹 다도 좋습니다 아무도 못 보게 아예 그냥 아예 지워주세요 제발 부탁드립니다 진짜 몇십분 째 못지워서 억울 할 지경입니다 내일에는 제발 지워져 있게 해주세요오..,2025-06-20T07:41:06-07:00
잉아잉용,5,카톡 알림이 안떠요…,정말 잘 쓰고 애용하는데요 몇달전부터 알람이 안떠서 너무 불편합니다ㅠㅠ어떻게 방법이 없을까여..,2025-06-20T07:12:48-07:00
안녕 하세 요,1,검열,검열이딴거하는데 사용을 어키해욤,2025-06-20T07:08:58-07:00
snckekvnj,1,검열에 반대한다,.,2025-06-20T04:26:29-07:00
오렌지태양,1,채팅 필터링,이게 말이되냐 전국민앱을 감시하고있어,2025-06-20T03:54:21-07:00
ARI_SIU,1,무자비한 검열,앙만보내도 신고만 먹으면 검열되네요,2025-06-20T03:31:38-07:00
용노우,3,개선사항,카톡 메세지 삭제되었을시 내역 남아있지 않으면 좋겠습니다 업데이트된 메세지 중 말풍선 점점점은 기존처럼 없는게 더 나은것 같습니다..,2025-06-20T02:56:41-07:00
JYoungKIM,1,스포방지 기능 입력중 ...,이거 왜 만든거나요?? 업무톡이나 이런거 적당히 읽씹 해아 하는데 읽음 표시는 안남겨야 라는 때가 있는데 ...클라이언트가 벌써 스포방지로 수정사항을 보내내요 ㅎㅎㅎ 아주 짜증이 확 나는데 수정사항 오늘 까지 긴급하게 해달라는데 예전같으면 다른 스케줄 있어서 확인이 늦었다고 하고 시간을 벌수가 있었는데 이게 뭐냐고요 카톡 상당수가 업무톡으로 쓸텐데 ㅋㅋ 그 카카오 직원분들 괜춘함요?? ㅋㅋ 아 진짜 어쩔수 없이 쓰는거라 빡치는데 더 열받네 이거 기능 만든 사람 누군데요 얼굴한번 봅시다 ㅡㅡ,2025-06-20T02:15:21-07:00
레몬찌개,1,으악 검열당한다,중국 만세라고 할테니까 잡아가지 마세요,2025-06-20T01:42:13-07:00
예수님신부,1,와진짜 전체 탈퇴좀 쉽게만들어라 개인정보다가져가네,이거 진짜 위험한 앱이었네,2025-06-20T00:57:12-07:00
Sof-17,1,대한민국 검열사회의 시작.,"지금까지 자유민주주의 대한민국을 사랑해주셔서 감사합니다.
민주당 화이팅! 이재명 화이팅!",2025-06-20T00:39:42-07:00
앱의 노예,1,스포방지 기능 추가할때 노티피케이션 제대로 확인 안하신거 같은데요 테스트 한번 해보세요  앱 꺼집니다,대기업에서 이정도도 테스트 안하는건가요,2025-06-19T23:17:00-07:00
칠번국도,1,업데이트가 뭔지 모르나?,뭐야 이거…더 안좋아지는데 업데이트인가요. 아놔… 기능이 왜 사라지냐…허참.,2025-06-19T21:48:43-07:00
잘못됐어,1,검열 기준이 있긴해?,"21세기에 개인간의 대화 내용을 검열한다라..  몇년전만해도 참 많이 응원했던 회사였는데, 이제 역사속으로 없어지겠어. 고생했다 그동안. 탈퇴할게 이제 빠이",2025-06-19T16:27:55-07:00
아 좀 걍,2,답없는 놈들아,뒤로 가기좀 만들어라 좀 하..,2025-06-19T08:48:04-07:00
규리기22,1,갑자기 이용제한정지,"이유가뭘까
13년씀",2025-06-19T07:20:59-07:00
요플레히요,4,광고 조금 줄여주면 좋겠어요,"말그대로 메신저이지 광고로 도배할건 아니라고 생각해요 예전 카톡처럼 광고없이 편하게 다들 톡 주고받고 했음 좋갰어요 대화창 누르려다가 자꾸 광고 누르려해서 좀 그래여,,",2025-06-19T07:05:14-07:00
무슨쓰는것마다 다 쓰고잇데 ㅅㅂㄹㅁ,1,ㅋㅋㅋ,ㅋㅋㅋ,2025-06-19T06:38:41-07:00
팔아넘기니깐 좋냐?,1,이걸 검열하네,검열시켜버리네 ㄷㄷ,2025-06-19T06:36:38-07:00
감자고구만,1,🇨🇳🇰🇵🇰🇷,니 주인이 그렇게 좋냐,2025-06-19T05:01:19-07:00
사리로띠,1,친구 검색,이게 뭔 인스타그램도 아니고 왜 친구 검색하는데 동명이인 다른 사람들을 띄워주는거에요?? 의도가 도대체 뭡니까?,2025-06-19T04:44:40-07:00
사자여,5,모든 감시의 시작,"공산당 중공 자본의 수하가 되어버린 카카오톡 불매합니다,국민이 국민을 감시하는 나치식 게슈타포를 일삼는 전체주의식 검열을 일삼는 카카오톡 정신 차리십시오 대체 어느나라 기업입니까?",2025-06-19T04:31:20-07:00
밀알,1,검열?,도대체 근거가 뭐고 기준이 뭐길래 정권 바뀌자마자 이따위 정책을 폅니까? 굴복입니까?,2025-06-19T03:46:11-07:00
아먹장,1,사회주의 앞잡이 카카오,"이제부터 점점 더 검열이 심해지겠지. 입맛에 따라 골라내고, 중국 위챗이랑 비슷해지겠네요.",2025-06-19T01:25:13-07:00
해리안,1,조금만 신경써도 되는걸,노답인거 어쩔,2025-06-19T00:58:32-07:00
H-C1234,1,친중공산당앱,친중공산당앱,2025-06-18T22:32:09-07:00
좋습니다아아,4,숨김 친구도 프로필 비공개 할 수 있게 해주세요,"차단 친구 프로필 비공개는 아주 잘 쓰고 있어요.
그런데 숨김 친구한테도 제 프로필 비공개 할 수 있는 기능이랑 다른 사람 카톡에 내가 아예 안뜨게 할 수 있었으면 좋겠어요ㅠㅠ

이미 친구 추가가 되어있는 사람 카톡에 제가 안뜨게 해주세요",2025-06-18T20:23:50-07:00
케타쿠,4,프로필에 미니 이모티콘도 추가시켜주세요,"프로필에 이모티콘 넣을 수 있는 기능이 있는데
미니 이모티콘도 넣을 수 있게 해주시면 좋겠습니다",2025-06-18T18:41:46-07:00
IllllIIlIIlIl,1,시그널로 갈아타자,시그널은 미국 어플이고 보안성 뛰어남 ㄱㄱ,2025-06-18T17:31:42-07:00
재밌는시간,1,Censorable app,Same as wechat,2025-06-18T17:17:30-07:00
아니 왜 다 사용한 별명이래,5,제발 이것만큼은 바꿔주세요,진짜 다른거 다 좋고 이만란 앱이없어요 진짜 근데 왜 몇분 지나면 보냈던 카톡을 다른사람도 안보이게 지울수 없는거죠? 그냥 시간 좀 지나도 다른사람이 볼 수 없게 지울 수 있었으면 합니다. 전에도 톡 잘못보낸줄 모르고 못지운적 한두번이 아니고요. 제발 바꿔주세요 너무 불편합니다,2025-06-18T15:58:34-07:00
지영졍ㅈ영,1,ㅋ,ㅋㅋㅋㅋㅋ검열ㅋㅋㅋㅋㅋ,2025-06-18T12:45:37-07:00
Renhoe,1,Use Signal App instead,"Very bloated, unencrypted, vulnerable and data-mining / spammy app that can be easily sued over just like Facebook / Meta",2025-06-18T12:21:28-07:00
ㅈ까 ㅋㅋ,1,별 안주고는 작성못함? 검열 ㅋㅋㅋㅋ,중국임? 공산당임? ㅋㅋㅋㅋㅋㅋ,2025-06-18T08:21:42-07:00
930일공공공공 밍,1,왜 검열하시죠?,"제발 멈춰주세요
계속 이렇게 하시면 곧 망할거에요
점점 카톡에서 다른 앱을. 찾을거라구요",2025-06-18T07:49:47-07:00
스페인어 배우고싶엉,1,민주주의 where?,검열은 진짜 아니라고 생각합니다. 저희 나라는 자유민주주의 국가 입니다.,2025-06-18T07:31:38-07:00
ㅠㅗ노년,5,좋음,그냥 사람들한테 뭐 알려줄때도 좋고 안드로이드랑 ios페톡 안되는데 되는게 ㄹㅇ 개좋음 위치도 보낼수 있고 이모티콘도 다양해서 매세지 보단 진짜로 58000배 좋아요 꼭 쓰세요,2025-06-18T07:23:55-07:00
sSa2ea,1,돈때문에 중국에 나라 팔아 먹은 기업,할말이없다,2025-06-18T07:12:40-07:00
따뜻한밥한끼,1,업데이트,아이폰6을 사용하고 있습니다. 업데이트가 이루어지질 않아 다음카페 로그인도 안되고 인증도 안됩니다. 오래된 휴대폰을 사용하는 가난한 사람들이 디지털 소외계층으로 만들어 사회적 자산을 전혀 사용하지 못하게 카카오에서 만드는 건가요? 서민을 위한 기업으로 처음에 엄청 강조하더니 이젠 엄청난 부를 축척하고 가난한 사람을 소외계층으로 만들고 계시네요.,2025-06-18T06:42:22-07:00
ㅎ아온ㅍㅊ논,1,카톡 검열은 진짜 최악이다,"불신을 만드는 정책, 이용자를 불편하게하고 감시하는 검열 다른 채팅 어플로 넘어갈 때인가보다",2025-06-18T05:58:48-07:00
토치야,3,앨범과 동기화 속도가 느려서 앱 나갔다 들어와야합니다.,"앨범과의 동기화가 속도가 느려서인지
버그인지 아무튼 동기화 안되요.",2025-06-18T05:51:48-07:00
didnendjc,1,이재명,"이재명화이팅
아드님화이팅
형수님도화이팅",2025-06-18T05:44:10-07:00
솧툌촟,2,보이스톡,친구랑보이스톡하고있엇는돼 다른친구한테카톡을보낼라고했는되 카톡이않보내짐,2025-06-18T05:33:22-07:00
sujincr,1,검열한다면서여,ㅋㅋㅋㅋㅋㅋㅋㅋ 공산화,2025-06-18T05:14:10-07:00
sc@w,1,짱,깨,2025-06-18T04:51:55-07:00
거북이628,1,카톡검열 반대,카카오톡 검열에 대응하는 법 : ‘나와의 채팅’에 안쓰고 개인정보나 유용한 데이터가 포함되지 않은 쓰레기 파일들을 무작위로 업로드 하여 서버 과부하 유발하기.,2025-06-18T04:45:55-07:00
ㅎㅎ::::::::::::::),1,신고받고 검열하기 추가 덕,탈퇴합니다 그동안 즐거웠다,2025-06-18T04:45:23-07:00
ㅅ수수수스ㅜ숫스스슷,1,검열 진짜 뭐임?,법은 개나줬나요..,2025-06-18T04:41:15-07:00
떼껄룩냐옹이,1,검열이 시작되엇네요,국민의 사생활이 침해받는 인민대한공화국 시작인가요? 쭝궈 ㄷㄷㄷ,2025-06-18T04:09:51-07:00
ㅈㅉ 검열 그만하자,1,검열 업데이트,"진짜 오바라고 생각합니다 옾챗은 상관 없는데 실프톡에서 학폭이야기,법적 문제 이야기 등등이 폭력적이면 그걸 신고하면 그것도 영정 먹는거 이니겠습니까...",2025-06-18T03:52:00-07:00
리뷰 달때 매너 지키자^^,1,.....,......,2025-06-18T03:17:50-07:00
왕커너엉,1,ㅋㅋㅋㅋ어이가없어서,"검열 꺼져라 얼마를 받아 쳐드셨는지 모르겠지만 정도껏해야지 폭력성? 비속어? ㅋㅋㅋㅋ 검열한다고? 그속의
의미를 모를거같으냐 사람이? 독과점 지난번에 불낫다고 대응책하는꼴보고 아니꼬았는데 이참에 라인으로 갈아타야지 ^^^",2025-06-18T02:52:54-07:00
리짜이밍뒤져,1,검열미쳤냐?,리짜이밍 카톡 검열 적당이해라,2025-06-18T02:16:57-07:00
Ellemia,1,본인들 광고는 잘만 도배하면서,토스 이벤트 한번 참여한거 다른사람이 신고하면 도배도 아닌데 칼같이 정지시키는게 말이 되나 싶음 ㅋㅋㅋ,2025-06-18T01:55:55-07:00
마이비누,1,짱깨카톡,"중국이다먹은카톡 그만쓸때됐다 내정보다털어가서 머하게
이리뷰도지우게??",2025-06-18T00:58:41-07:00
라떼!,1,더러운 공산주의 퉤,업데이트 그딴식으로 할거면 회사 운영하지마세요,2025-06-18T00:03:11-07:00
원스타폴라,1,헌법 제18조,모든 국민은 통신의 비밀을 침해받지 아니한다,2025-06-17T22:57:22-07:00
토너ㅜ여엉,1,표현의 자유를,"보장하라 
여기가 중국이냐?",2025-06-17T22:48:48-07:00
ryusumi,1,진짜 필요한 기능은 안만들고 필요없는 기능만 주구장창 만드시네요,"실수로 나간 카톡방 몇일이내에는  복원되야하는거 아닌가요? 
못해도 십분 이내에는요
이런 간단한 기능도 안되는데 톡서랍 플러스는 왜있는건가요 상담원도 느리고 답답하고 아",2025-06-17T22:48:29-07:00
슈트리더,1,그냥 위챗이랑 통합하는것도 괜찮을듯,어설프게 검열하지말고 확실히 부탁드립니다! 마음의 준비는 다 했어요!,2025-06-17T21:43:13-07:00
머라히아뉴거라,1,후회하게될것이다,"하늘이 보고있다 
분명 응당 대가를
치룰것이다",2025-06-17T21:33:40-07:00
Difidjroto,1,검열대단하다,헌법개무시하고 검열하는거 보소 뭘 구구절절 말이 필요하겠음..그냥 민주당 욕하면 검열이고 국힘 지지하면 검열이지ㅋㅋ,2025-06-17T21:16:59-07:00
81838:,1,검열,모두가 믿고 쓴 카카오톡이 이렇게 될거라곤 아무도 몰랐을 겁니다...,2025-06-17T20:23:34-07:00
나현긩,5,사진 좌우반전 좀 고쳐주세요 제발 ㅠㅠㅠㅠ,좌우반전 너무 불편합니다... 고쳐주시길... 간곡히... 부탁드립니다...,2025-06-17T20:19:07-07:00
부리리히,5,리재앙의 명나라에 오신걸 환영 합니다^^,독재 맛있쥬? 쎼쎼🩷,2025-06-17T19:19:42-07:00
로이9,1,모든 검열의 시작,공산당의 5호 담당제를 시작하는 카카오,2025-06-17T19:10:09-07:00
똥나올락말락,1,씨발카톡,검열 쳐 하는 공산당똥꼬 쳐 빠는 씨발노무 카카오톡 다니는 새끼들 전부 뒤졌으면 좋겠노,2025-06-17T19:08:06-07:00
카오스킬,4,단체방도 오픈채팅처럼 텝으로 빼주삼,단채방도 오픈채팅방처럼 탭으로 좀 빼주세요. 아님 단체방을 별도 탭으로 이동해서 오픈채딩방처럼 모아보게 해주던가 점점 방이 많아지니 관리가 힘드네,2025-06-17T19:00:52-07:00
gkdlcm,3,전송버튼 꾹 누르면 예약메세지 뜨는거 불편해요,실험실에서 끄게 해주세요,2025-06-17T18:47:12-07:00
murl봐,1,대박,이런 앱은 처음입니다!,2025-06-17T18:02:53-07:00
@…@…-,1,이유는 잘알텐데..,이유는 알텐데…,2025-06-17T17:52:54-07:00
つ0u0つ,1,🇨🇳🇨🇳🇨🇳,🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳,2025-06-17T16:19:48-07:00
치킨피자엽떡불닭,5,멀티프로필 홈 수정 기능 만들어주세요,멀티프로필에서 프사랑 배사처럼 상태메시지 기록도 삭제하거나 나만보기로 바꿀 수 있었으면 좋겠네요..🥹,2025-06-17T09:56:53-07:00
2월3일,4,기간 차단제 제발 개발해주십시오,보관함에 넣으면 상단에 뜨는데 고통스럽습니다,2025-06-17T07:51:37-07:00
가기구거고,1,진찌 못 써먹겠네,본인인증 개같네,2025-06-17T07:16:12-07:00
적당히 하자 제발 좀 ㅋ,1,카톡 적게 써야겠다,이유는 알지? 이것도 검열당하려나,2025-06-17T07:03:16-07:00
Apple_seed,4,건의사항,"프사 갯수 늘어나니 보기 힘든데 앞부분 찾아가려면 끝없이 내리다 터치 삐끗하면 다시 밖으로 나가버리는데요
프사 우측 상단 구석 프사홈 가면 적어도
캘린더처럼 년도 월별로 작게 나와서
전 사진 찾아보기 쉽게 해주세요
프사 몇백개 넘어 가는 거 힘듬",2025-06-17T06:32:00-07:00
개안내요,5,검열?,"????????????
뭐하는 거죠?
여기는 대한민국입니다",2025-06-17T06:28:48-07:00
Gamereeee,1,남조선 중앙통신 강령,이젠 모든 대화 내용이 검열된다? 이게 북이여 남이여???,2025-06-17T06:03:32-07:00
이거 지우세요,1,검열 꺼져라,검열꺼져라 ㅈㅂ,2025-06-17T05:28:40-07:00
부힛부힛 사rrr 탯냥이,5,다 너무 좋은데 제발,"다 너무 좋은데요, 제발 프로필 사진, 배경 사진 순서를 자유롭게 바꿀 수 있게 해주세요ㅠㅠ",2025-06-17T05:18:09-07:00
흑우남,1,카카오 하루빨리 망해버렷으면,소원이없겠습니다~,2025-06-17T05:13:05-07:00
롳헟ㅇㅁ하ㅏㅌㅇ,1,검열 개씨발아,꺼지라고 좀 공산당이냐,2025-06-17T05:02:46-07:00
재미서욬ㅎ,1,검열톡,.,2025-06-17T04:48:30-07:00
재활의학과 꼴터,1,카톡검열이 말이냐,미친놈들,2025-06-17T04:33:11-07:00
ㅁㅁ17739,1,업데이트좀 작작하세요,일주일에 몇번을 하는건지;,2025-06-17T04:09:33-07:00
테르자기 방정식,1,무소불위의 권력앞에 굴복한,젓가랏같은 것,2025-06-17T03:59:11-07:00
쉰내남,1,이재명 민주당 공화국의 개,"공산당 지지하시죠? 카카오톡말고 북조선인민대화로 이름 바꾸시죠?
그리고 1찍 니들이 원하던 결과가 이거잖아ㅋㅋ",2025-06-17T03:41:00-07:00
K SIWOO,5,검열? ㅋㅋㅋㅋㅋㅋ,아니 실시간 대화에서 부적절한 내용이 신고 되야 제제가 들어간다고 극우들앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-06-17T03:39:47-07:00
52려좋아,1,찢재명,구속,2025-06-17T03:29:19-07:00
핫남입니다.,1,카톡 검열없애라,뭔 말도안되는 중국 북한 공산당마냥 카톡 검열이냐 검열로 카톡 정지까지 먹이면 사람들 카톡 떠날일만 남았는디? 카톡 주가 생각하면 검열 철회해라 이재명 욕하는거랑 정치적 발언으로 정지 먹이는건 공산당이릉 다를게 뭐냐? 아무리 상대방 신고 있어야된다고 해도 개인 대화간에 표현의 자유가 있는건데 그걸 못하게 한다고?,2025-06-17T02:43:26-07:00
dbsxodud430,1,검열?,도대체 뭐가 그렇게 켕겨서 곰열까지 한댜?,2025-06-17T02:16:55-07:00
망ㄱ-ㅁ,1,이재명 검열,이재명 검열,2025-06-17T02:16:40-07:00
hyul jin,5,캘린더,캘린더 어플 따로 만들어주세요,2025-06-17T02:15:17-07:00
abcdeeffgghh,1,카카오톡 검열 ; 공산주의의 출발 신호,다들 튀어잇,2025-06-17T01:31:03-07:00
CCPOUT,1,더불어인민공산당 독재의 시작,여기 중국북한임?? 서로 감시하고 고발해서 포상금 주는거 딱 공산당이잖아 헌법에 보장된 표현의 자유는 어디갔나요? 헌법 위에 있는 카카오 참 대단하다~~,2025-06-17T00:20:00-07:00
Loveksr,1,놀랍다…,특정정당에 의해 카톡이 검열될 수 있다는 사실과 (아니라고 하면서도 메인에 대대적인 공지 안뜸) 중국 탠센트의 돈으로 운영되고 있다는 사실이.,2025-06-17T00:10:21-07:00
여더처ㅑㅑㅑㄴㅇ,1,검열,ㅋㅋㅋ안씁니다 이제,2025-06-16T23:20:25-07:00
이이디디디,1,검열이 말이되냐 어휴,하지마,2025-06-16T23:00:50-07:00
삼성키보드,1,검열의 시작.. 공산주의 시작,ㅉㅉ,2025-06-16T22:48:01-07:00
